rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Complement and coagulation cascades,0.010467619884929202,4.968253968253968,22.652598000226295,CFD;C5;F12;CD55,0.8612747237691043,0,0,46,neg,KEGG_2021_Human
2,Sphingolipid metabolism,0.012951499605550441,6.539615978812624,28.42472661929245,CERS4;GLA;PLPP1,0.8612747237691043,0,0,46,neg,KEGG_2021_Human
3,Glycerolipid metabolism,0.023196801380475852,5.183441274286714,19.50912983009035,GLA;PLPP1;PNPLA2,0.9082478855468527,0,0,46,neg,KEGG_2021_Human
