rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,TNFR1-mediated Ceramide Production R-HSA-5626978,0.0014535707837741265,49.98989898989899,326.6206097208578,SMPD3;TNF,0.3270240903305732,0,0,71,pos,Reactome_2022
2,Binding Of TCF/LEF:CTNNB1 To Target Gene Promoters R-HSA-4411364,0.0026777674677022855,33.323232323232325,197.36590289038227,TCF7L2;LEF1,0.3270240903305732,0,0,71,pos,Reactome_2022
3,RUNX3 Regulates WNT Signaling R-HSA-8951430,0.0026777674677022855,33.323232323232325,197.36590289038227,TCF7L2;LEF1,0.3270240903305732,0,0,71,pos,Reactome_2022
