rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Androgen Response,6.570537771122418e-05,7.685609226140732,74.01495143325761,CCND1;INSIG1;SORD;PMEPA1;PA2G4;FADS1;PLPP1,0.0027235724458049802,0,0,73,neg,MSigDB_Hallmark_2020
2,IL-2/STAT5 Signaling,0.00018302294269753342,4.8633232295398185,41.85326872713533,CDKN1C;SOCS2;SOCS1;CISH;PRAF2;SCN9A;IL3RA;ETFBKMT;PLPP1,0.0027235724458049802,0,0,73,neg,MSigDB_Hallmark_2020
3,Estrogen Response Late,0.00019001668226546373,4.837614100490667,41.45060631295679,GALE;CCND1;CISH;HSPA4L;PPIF;SORD;CD9;FLNB;SLC29A1,0.0027235724458049802,0,0,73,neg,MSigDB_Hallmark_2020
