rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,SMAD2 mouse,3.343535939158139e-05,26.918367346938776,277.4179092680899,ACTA2;DAPK1;HES1;SKIL,0.005717446455960418,0,0,73,neg,TRRUST_Transcription_Factors_2019
2,RUNX3 human,0.00021690636844734666,15.521193092621663,130.93747995826848,JAG1;CCND1;HES1;TIMP1,0.017008790291069574,0,0,73,neg,TRRUST_Transcription_Factors_2019
3,SP1 human,0.00029839982966788726,3.1787106165187584,25.801836484194023,PGLYRP2;GIPR;NOS3;INSR;PTK6;LTC4S;BACE2;SOCS1;CCND1;MMRN1;KCTD11;TIMP1;SLC29A1;FBP1,0.017008790291069574,0,0,73,neg,TRRUST_Transcription_Factors_2019
