rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,p53 Pathway,0.00019001668226546373,4.837614100490667,41.45060631295679,PLK3;PERP;HSPA4L;EPHX1;FDXR;SDC1;BAK1;BAIAP2;IER3,0.007220633926087622,0,0,98,pos,MSigDB_Hallmark_2020
2,TNF-alpha Signaling via NF-kB,0.0009340556104345935,4.255208333333333,29.684225172013964,EHD1;MAP2K3;NFKBIA;KLF10;SPSB1;IL18;IER2;IER3,0.011831371065504852,0,0,98,pos,MSigDB_Hallmark_2020
3,Estrogen Response Early,0.0009340556104345935,4.255208333333333,29.684225172013964,SEC14L2;KLF10;KRT19;ZNF185;CLDN7;TBC1D30;AQP3;NBL1,0.011831371065504852,0,0,98,pos,MSigDB_Hallmark_2020
