rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Receptor-Mediated Endocytosis (GO:0006898),3.1607414902953266e-05,7.1951754385964914,74.55726279720184,LRP1;FCHO1;CTSL;ACKR3;CD9;APOE;FNBP1L;ASGR1,0.04116642314669693,0,0,84,pos,GO_Biological_Process_2023
2,Regulation Of Notch Signaling Pathway (GO:0008593),7.144403293220934e-05,9.537371134020619,91.04943074916847,LFNG;EGFL7;AKT1;ARRB1;GATA2;EPN2,0.04116642314669693,0,0,84,pos,GO_Biological_Process_2023
3,Regulation Of Rho Protein Signal Transduction (GO:0035023),9.0483142653988e-05,9.108939836897985,84.80739062557714,KANK1;GPR55;LPAR1;ABL2;ARRB1;APOE,0.04116642314669693,0,0,84,pos,GO_Biological_Process_2023
