rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,3'-Phosphoadenosine 5'-Phosphosulfate Metabolic Process (GO:0050427),0.00041017649693527065,25.111675126903553,195.84402098106767,PAPSS2;PAPSS1;SULT1A2,0.18240912332236872,0,0,219,neg,GO_Biological_Process_2023
2,High-Density Lipoprotein Particle Remodeling (GO:0034375),0.00041017649693527065,25.111675126903553,195.84402098106767,CETP;SCARB1;LIPC,0.18240912332236872,0,0,219,neg,GO_Biological_Process_2023
3,Reverse Cholesterol Transport (GO:0043691),0.0005011239651713426,23.178836392034363,176.1280286078286,CETP;SCARB1;LIPC,0.18240912332236872,0,0,219,neg,GO_Biological_Process_2023
