rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,NCAM1 Interactions R-HSA-419037,0.0004949472916124923,12.224489795918368,93.04131653695897,COL4A1;COL4A4;COL4A3;GFRA2,0.15948112412528193,0,0,76,neg,Reactome_2022
2,Axon Guidance R-HSA-422475,0.0007622668740864588,2.8758650058554243,20.646449838013197,EPHA4;NRP1;TRIO;ITGA1;PIK3R3;AP2B1;LDB2;KALRN;GFRA2;ARHGAP35;COL4A1;COL4A4;PSME4;COL4A3,0.15948112412528193,0,0,76,neg,Reactome_2022
3,Nervous System Development R-HSA-9675108,0.0012158200926688412,2.7313650446509934,18.333841165197995,EPHA4;NRP1;TRIO;ITGA1;PIK3R3;AP2B1;LDB2;KALRN;GFRA2;ARHGAP35;COL4A1;COL4A4;PSME4;COL4A3,0.15948112412528193,0,0,76,neg,Reactome_2022
