rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Fanconi anemia pathway,0.016816102196470534,5.896984174380412,24.09164757699128,RAD51C;SLX1A;FANCB,0.9009562398907227,0,0,240,neg,KEGG_2021_Human
2,Glutathione metabolism,0.01941144445372479,5.568527918781726,21.950538252832054,GSTM3;GSTO2;PRDX6,0.9009562398907227,0,0,240,neg,KEGG_2021_Human
3,Biosynthesis of unsaturated fatty acids,0.029644233408498193,7.98989898989899,28.11236101024157,FADS2;HACD1,0.9009562398907227,0,0,240,neg,KEGG_2021_Human
