rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,RHO GTPases Activate PAKs R-HSA-5627123,0.01844202324839397,10.516214779372675,41.9925427496273,CTTN;MYH11,0.7730067760120242,0,0,240,neg,Reactome_2022
2,Resolution Of D-loop Structures Thru Holliday Junction Intermediates R-HSA-5693568,0.042893951553666966,6.4415118931247966,20.28447846195992,RAD51C;SLX1A,0.7730067760120242,0,0,240,neg,Reactome_2022
3,Resolution Of D-Loop Structures R-HSA-5693537,0.0452815731960364,6.23989898989899,19.311583224616665,RAD51C;SLX1A,0.7730067760120242,0,0,240,neg,Reactome_2022
