rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Herpes simplex virus 1 infection,4.340145531675328e-05,3.4851163629803357,35.008055151128175,ZNF100;ZNF790;ZNF43;HLA-F;SOCS3;ZNF90;C5;ZFP14;ZFP57;ZNF93;ZNF429;ZNF737;ZNF799;ZNF546;ZNF565;ZNF333,0.006336612476245979,0,0,179,pos,KEGG_2021_Human
2,Focal adhesion,0.01584213393204919,3.1094369547977796,12.888871722786034,MYL5;COL4A4;ITGA1;FN1;FLNB;MYLK,0.9002661832767546,0,0,179,pos,KEGG_2021_Human
3,Vitamin digestion and absorption,0.023768932446959146,9.080808080808081,33.956554984338226,CUBN;MMACHC,0.9002661832767546,0,0,179,pos,KEGG_2021_Human
