pair,cos,l2,rand_l2
B_cell→T_cell,0.858699777972281,0.9190703630447388,4.257885749420016
Mono_classical→NK_dim,-0.7886267570631186,4.740907192230225,3.766504762736042
erythroid→neutrophil,-0.11353634831981095,3.19240140914917,3.7255315688993162
CD4_memory→CD8_cytotoxic,0.8080637261026911,1.3560923337936401,4.202646021704862
