rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,PAX5 mouse,0.008366027088182239,16.656565656565657,79.67795051677446,CD72;CD19,0.27391201995707576,0,0,119,pos,TRRUST_Transcription_Factors_2019
2,RELA human,0.01105012603293204,2.774032992036405,12.497888136972108,CASP9;PIGR;CR2;EBI3;BCL3;NLRP2;HLA-A;CCR5,0.27391201995707576,0,0,119,pos,TRRUST_Transcription_Factors_2019
3,NFKB1 human,0.011465764683802646,2.7549435028248586,12.31016108301278,CASP9;PIGR;CR2;PGLYRP2;EBI3;BCL3;NLRP2;CCR5,0.27391201995707576,0,0,119,pos,TRRUST_Transcription_Factors_2019
