rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Premature ovarian failure (HP:0008209),0.0006040394207294829,21.522117476432197,159.51916044937724,EIF2B5;LARS2;AARS2,0.21345925745108932,0,0,1,pos,Human_Phenotype_Ontology
2,Tachypnea (HP:0002789),0.0009905301969888136,17.721409375933113,122.58377707877821,ABCD4;OXCT1;INPP5E,0.21345925745108932,0,0,1,pos,Human_Phenotype_Ontology
3,Ketosis (HP:0001946),0.0026840467141937513,12.045685279187817,71.31563234569973,MCCC2;OXCT1;BCKDHB,0.2747047907020699,0,0,1,pos,Human_Phenotype_Ontology
