rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Serine Biosynthesis R-HSA-977347,7.91555905106562e-05,50.23857868020305,474.45791686900793,SRR;PSAT1;SERINC2,0.027576489498190734,0,0,200,pos,Reactome_2022
2,Gamma-carboxylation Of Protein Precursors R-HSA-159740,0.00011224655254723089,43.059463379260336,391.61775629527256,GGCX;PROS1;GAS6,0.027576489498190734,0,0,200,pos,Reactome_2022
3,"Gamma-carboxylation, Transport, And Amino-Terminal Cleavage Of Proteins R-HSA-159854",0.00015320271943439296,37.6751269035533,330.92884130781977,GGCX;PROS1;GAS6,0.027576489498190734,0,0,200,pos,Reactome_2022
