rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Neuronal Ion Channel Clustering (GO:0045161),5.3162099096467675e-05,60.28934010152284,593.3776232841345,CNTNAP2;KCNIP2;PICK1,0.060179496177201405,0,0,137,neg,GO_Biological_Process_2023
2,Cellular Response To Zinc Ion (GO:0071294),0.00041017649693527065,25.111675126903553,195.84402098106767,MT1M;MT1F;MT1E,0.23215989726536318,0,0,137,neg,GO_Biological_Process_2023
3,Cellular Response To Copper Ion (GO:0071280),0.0009905301969888136,17.721409375933113,122.58377707877821,MT1M;MT1F;MT1E,0.2531950733722772,0,0,137,neg,GO_Biological_Process_2023
