rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Amino-Acid Betaine Metabolic Process (GO:0006577),0.0014535707837741265,49.98989898989899,326.6206097208578,CPT1A;CROT,0.4895885911344913,0,0,216,neg,GO_Biological_Process_2023
2,Neuronal Action Potential (GO:0019228),0.0026777674677022855,33.323232323232325,197.36590289038227,MYH7B;KCNMB4,0.4895885911344913,0,0,216,neg,GO_Biological_Process_2023
3,Regulation Of Platelet Activation (GO:0010543),0.0026840467141937513,12.045685279187817,71.31563234569973,SELP;PDGFB;GP1BA,0.4895885911344913,0,0,216,neg,GO_Biological_Process_2023
