rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,NFIC mouse,0.0051570205394645754,22.21212121212121,117.00004466783103,PDGFA;CCL2,0.3839640925210122,0,0,233,neg,TRRUST_Transcription_Factors_2019
2,TCF4 mouse,0.015214448401771344,11.754604872251932,49.19901329869125,ACTA2;MITF,0.3839640925210122,0,0,233,neg,TRRUST_Transcription_Factors_2019
3,SMARCA4 mouse,0.015214448401771344,11.754604872251932,49.19901329869125,ADAMTS1;MITF,0.3839640925210122,0,0,233,neg,TRRUST_Transcription_Factors_2019
