rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,HOXA10 mouse,0.0020216133697869413,39.98989898989899,248.09171029141777,PHGDH;MYLK,0.11927518881742953,0,0,242,neg,TRRUST_Transcription_Factors_2019
2,RFXANK human,0.009590008493683598,15.374514374514375,71.44588341233826,HLA-DRB5;HLA-DQA2,0.18860350037577744,0,0,242,neg,TRRUST_Transcription_Factors_2019
3,RFXAP human,0.009590008493683598,15.374514374514375,71.44588341233826,HLA-DRB5;HLA-DQA2,0.18860350037577744,0,0,242,neg,TRRUST_Transcription_Factors_2019
