rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Oxidative Phosphorylation,3.4600949670423796e-05,5.43213296398892,55.79685681599258,BCKDHA;BDH2;ATP5F1B;UQCRB;NDUFS4;NDUFA1;UQCRC2;ATP6V1E1;ATP6V1D;ATP5ME,0.0013840379868169518,0,0,79,pos,MSigDB_Hallmark_2020
2,Inflammatory Response,0.0009340556104345935,4.255208333333333,29.684225172013964,ABCA1;CSF1;CD82;CLEC5A;IL18;CD14;SCN1B;ICOSLG,0.01868111220869187,0,0,79,pos,MSigDB_Hallmark_2020
3,mTORC1 Signaling,0.015493990781832804,3.1256244021681368,13.025424015927582,PSMA3;PRDX1;MTHFD2L;CANX;PSMC2;ATP6V1D,0.20658654375777072,0,0,79,pos,MSigDB_Hallmark_2020
