rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Cholesterol metabolism,0.0015598806233641427,8.763975155279503,56.64285082988862,ABCA1;MYLIP;CETP;LIPC,0.2994970796859154,0,0,131,neg,KEGG_2021_Human
2,Renin secretion,0.005054747990012165,6.196232339089482,32.76212791134876,PDE1B;KCNMA1;GNAS;GNAI1,0.42653959646297646,0,0,131,neg,KEGG_2021_Human
3,Gap junction,0.01178108546087795,4.790087463556851,21.274023659747563,TUBA1C;LPAR1;GNAS;GNAI1,0.42653959646297646,0,0,131,neg,KEGG_2021_Human
