rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Steroid biosynthesis,0.0009905301969888136,17.721409375933113,122.58377707877821,SQLE;DHCR24;MSMO1,0.09625387408564995,0,0,109,pos,KEGG_2021_Human
2,Terpenoid backbone biosynthesis,0.0013185462203513692,15.854394870424793,105.13406751270358,MVK;PDSS1;ACAT2,0.09625387408564995,0,0,109,pos,KEGG_2021_Human
3,Fat digestion and absorption,0.009061882822613368,7.522842639593908,35.3850321555175,FABP1;APOA1;ACAT2,0.44101163070051724,0,0,109,pos,KEGG_2021_Human
