rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Adducted thumb (HP:0001181),0.005094587706793724,9.407360406091371,49.666879272481374,FBN2;RBM8A;CHST14,0.4411856581745153,0,0,25,pos,Human_Phenotype_Ontology
2,Retinal detachment (HP:0000541),0.023196801380475852,5.183441274286714,19.50912983009035,VCAN;NHS;CHST14,0.4411856581745153,0,0,25,pos,Human_Phenotype_Ontology
3,Prominent nose (HP:0000448),0.02566829332016634,8.685551163812033,31.810820468950148,CTSK;NHS,0.4411856581745153,0,0,25,pos,Human_Phenotype_Ontology
