rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Intestinal immune network for IgA production,0.0013385699216315768,9.16326530612245,60.625569437732594,IL15RA;CCR9;TNFRSF17;HLA-DQA2,0.17612273985492657,0,0,132,pos,KEGG_2021_Human
2,Glutathione metabolism,0.0025341401417975046,7.60377358490566,45.45460491125239,GSTM4;GSTM3;GSTM1;CHAC2,0.17612273985492657,0,0,132,pos,KEGG_2021_Human
3,Metabolism of xenobiotics by cytochrome P450,0.007107636498802521,5.591836734693878,27.660498564595542,GSTM4;GSTM3;GSTM1;HSD11B1L,0.3293204911111835,0,0,132,pos,KEGG_2021_Human
