rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Processing Of Intronless Pre-mRNAs R-HSA-77595,0.0009905301969888136,17.721409375933113,122.58377707877821,COLEC12;CPSF1;CSTF3,0.2998726498517296,0,0,245,neg,Reactome_2022
2,Phosphate Bond Hydrolysis By NUDT Proteins R-HSA-2393930,0.0020216133697869413,39.98989898989899,248.09171029141777,NUDT9;NUDT18,0.2998726498517296,0,0,245,neg,Reactome_2022
3,Fructose Metabolism R-HSA-5652084,0.0020216133697869413,39.98989898989899,248.09171029141777,ALDH1A1;SORD,0.2998726498517296,0,0,245,neg,Reactome_2022
