rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Interleukin-1 Processing R-HSA-448706,7.91555905106562e-05,50.23857868020305,474.45791686900793,IL18;NFKB1;NFKB2,0.04179415178962647,0,0,99,pos,Reactome_2022
2,Collagen Degradation R-HSA-1442490,0.0006690615196291692,11.204081632653061,81.89774214112175,COL9A3;COL9A2;PRSS2;CTSB,0.11045324301856445,0,0,99,pos,Reactome_2022
3,Aflatoxin Activation And Detoxification R-HSA-5423646,0.0008481701801219675,18.82994923857868,133.17348392535672,MGST3;MGST2;GGT1,0.11045324301856445,0,0,99,pos,Reactome_2022
