rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,PRDM1 mouse,0.0051570205394645754,22.21212121212121,117.00004466783103,XBP1;PDCD1,0.14754901035986284,0,0,141,neg,TRRUST_Transcription_Factors_2019
2,RORA mouse,0.0051570205394645754,22.21212121212121,117.00004466783103,PCP2;PPARA,0.14754901035986284,0,0,141,neg,TRRUST_Transcription_Factors_2019
3,NR1I3 mouse,0.0061478754316609515,19.98989898989899,101.78154350719133,SQLE;PPARA,0.14754901035986284,0,0,141,neg,TRRUST_Transcription_Factors_2019
