rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Striated Muscle Contraction R-HSA-390522,0.000316376872754873,13.913441238564392,112.12252948199962,TNNC2;TPM1;TNNT3;TNNI2,0.13098002532051742,0,0,41,neg,Reactome_2022
2,mRNA 3-End Processing R-HSA-72187,0.0027008557557807325,7.462585034013605,44.13512048118966,RBM8A;PABPN1;MAGOH;SRSF9,0.5090440857415268,0,0,41,neg,Reactome_2022
3,RNA Polymerase II Transcription Termination R-HSA-73856,0.004551331168911818,6.393586005830904,34.476360946346375,RBM8A;PABPN1;MAGOH;SRSF9,0.5090440857415268,0,0,41,neg,Reactome_2022
