rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Cellular Respiration (GO:0045333),8.492479809184712e-10,15.514514514514515,324.0465431120925,COX8A;NDUFA7;NDUFB10;NDUFB6;NDUFB4;NDUFA3;NDUFA2;NDUFC1;UQCR10;SLC25A14;COX6B1,8.985544914835689e-07,0,0,29,neg,GO_Biological_Process_2023
2,Aerobic Electron Transport Chain (GO:0019646),1.4018282858224876e-09,17.91470054446461,365.19992253654686,COX8A;NDUFA7;NDUFB10;NDUFB6;NDUFB4;NDUFA3;NDUFA2;NDUFC1;UQCR10;COX6B1,8.985544914835689e-07,0,0,29,neg,GO_Biological_Process_2023
3,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),1.8798211118903116e-09,17.31578947368421,347.91038698332073,COX8A;NDUFA7;NDUFB10;NDUFB6;NDUFB4;NDUFA3;NDUFA2;NDUFC1;UQCR10;COX6B1,8.985544914835689e-07,0,0,29,neg,GO_Biological_Process_2023
