rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Oxidoreduction-Driven Active Transmembrane Transporter Activity (GO:0015453),1.3025431123038725e-10,23.63157894736842,537.8909483656437,COX8A;NDUFA7;NDUFB10;NDUFB6;NDUFB4;NDUFA3;NDUFA2;NDUFC1;UQCR10;COX6B1,2.9176965715606745e-08,0,0,29,neg,GO_Molecular_Function_2023
2,NADH Dehydrogenase (Ubiquinone) Activity (GO:0008137),3.08499905655317e-08,27.584296532483062,477.0463934314378,NDUFA7;NDUFB10;NDUFB6;NDUFB4;NDUFA3;NDUFA2;NDUFC1,2.8762298180896924e-06,0,0,29,neg,GO_Molecular_Function_2023
3,NADH Dehydrogenase (Quinone) Activity (GO:0050136),3.852093506370123e-08,26.561312607944732,453.45642811748206,NDUFA7;NDUFB10;NDUFB6;NDUFB4;NDUFA3;NDUFA2;NDUFC1,2.8762298180896924e-06,0,0,29,neg,GO_Molecular_Function_2023
