rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,PTK6 Regulates Cell Cycle R-HSA-8849470,0.0014535707837741265,49.98989898989899,326.6206097208578,CCND1;PTK6,0.4138480525380349,0,0,238,neg,Reactome_2022
2,Defective CSF2RA Causes SMDP4 R-HSA-5688890,0.0020216133697869413,39.98989898989899,248.09171029141777,SFTPC;SFTPD,0.4138480525380349,0,0,238,neg,Reactome_2022
3,Diseases Associated With Surfactant Metabolism R-HSA-5687613,0.0034202318391573132,28.561327561327563,162.17255858986445,SFTPC;SFTPD,0.4138480525380349,0,0,238,neg,Reactome_2022
